"eh1" "eh2" "p.val" "adj.pval"
1504 1640 0.827198647205173 1
558 418 0.439115197404596 1
714 667 0.885250976308182 1
381 340 0.39396550699434 1
639 673 0.900023445484339 1
616 567 0.750497067466277 1
328 459 0.00289191221621774 0.0578382443243549
478 475 0.988690019969713 1
291 220 0.338012175361937 1
166 135 0.244621585229999 1
393 497 0.0339019870667578 0.429139076794403
774 721 0.874900586503943 1
542 539 0.952711718720904 1
574 722 0.313011263984095 1
468 423 0.148941112527296 0.999604782062389
972 843 0.766805797778159 1
692 626 0.0981826375226767 0.825064180862829
652 743 0.0153767223492679 0.248011650794644
707 724 0.807301561504579 1
797 745 0.85494917523694 1
484 492 0.878744065358464 1
375 247 0.201960019316734 1
622 731 0.675258082596071 1
317 355 0.570597412026387 1
454 438 0.928320194582241 1
243 603 2.30357998340964e-11 3.29082854772805e-09
409 518 0.0732548168855585 0.704373239284216
601 551 0.840490115505869 1
346 286 0.0534666910882021 0.587546055914309
140 145 0.893700698411761 1
499 394 0.21497500660649 1
490 498 0.947166601406147 1
975 747 0.363451247177443 1
971 930 0.80598095780186 1
276 291 0.83798066138995 1
521 514 0.974683991836992 1
788 1010 0.102358431116885 0.845937447246982
722 841 0.0672055372429982 0.68577078819386
302 290 0.902469638678154 1
665 749 0.768678247589814 1
886 897 0.967982303529541 1
718 674 0.784063276765319 1
1097 1050 0.892860845749464 1
194 204 0.919407637367563 1
1145 1157 0.98175476467196 1
1282 1180 0.633777364113205 1
667 691 0.906137236353294 1
785 492 0.150037301610764 1
551 519 0.833322279410325 1
918 943 0.918045303549304 1
607 518 0.706325039200561 1
658 827 0.473300945274561 1
501 437 0.635576166623584 1
434 591 0.528277221209906 1
903 753 0.49948673122433 1
330 344 0.932557723900305 1
655 548 0.00215715275664501 0.0458968671626597
1391 1299 0.812174864529162 1
178 194 0.657446669031942 1
984 1083 0.792742717137581 1
712 620 0.765676040949561 1
665 600 0.836148726185489 1
558 535 0.904877951855604 1
337 263 0.375018912137657 1
251 428 0.180425239549688 1
522 469 0.505067732311841 1
342 316 0.862383014682426 1
476 447 0.788408344456686 1
398 488 0.389896836462043 1
143 259 0.0937284998688619 0.806621852678885
151 219 0.139683192984896 0.956734198526683
340 286 0.71166079153225 1
429 361 0.320302577777698 1
923 804 0.535122218862316 1
804 774 0.700142088211104 1
185 194 0.823688509166504 1
439 460 0.893708034929583 1
1141 975 0.751246516675241 1
387 510 0.297399046588674 1
403 343 0.632386558574945 1
730 637 0.744911889932576 1
622 825 0.165651915913465 1
270 309 0.704508908079297 1
1318 1269 0.890859842012272 1
800 796 0.920691778990744 1
1271 1227 0.894171497101016 1
722 341 1.42063078440718e-29 1.42063078440718e-26
281 262 0.849746901073612 1
397 427 0.845040011079865 1
272 787 0.0230924135990025 0.327975042477951
992 1194 0.543574112440955 1
227 287 0.626410035980272 1
287 272 0.645926946397225 1
889 843 0.627169417123756 1
285 297 0.789276604717218 1
387 364 0.887064480066845 1
390 590 0.304179604508352 1
631 655 0.92385864674177 1
853 803 0.874059435015084 1
763 689 0.0525046828575257 0.587546055914309
386 351 0.241943352609554 1
593 784 0.519463819753722 1
263 308 0.216032807785734 1
386 217 0.000849282324216177 0.022953576330167
613 660 0.853915298483499 1
745 555 0.323896589149927 1
648 659 0.939379693750537 1
1927 1759 0.824008243343205 1
766 736 0.802344256747244 1
689 646 0.871384693137842 1
520 531 0.937286858756075 1
423 276 0.276837703163 1
394 574 0.413488341153952 1
304 309 0.935933717461225 1
838 814 0.883662378892757 1
746 769 0.807614565418417 1
609 616 0.96534507535327 1
524 532 0.95114434260387 1
