"","eh1","eh2","p.val","adj.pval"
"574",396,396,1,1
"575",475,472,0.950679740600966,1
"576",164,179,0.725165385913089,1
"577",591,464,0.37841346470559,0.99590037707584
"578",570,513,0.55320985270492,0.99590037707584
"579",384,425,0.326024566964092,0.99590037707584
"580",271,248,0.338370279015687,0.99590037707584
"581",293,332,0.4782849997314,0.99590037707584
"582",1504,1640,0.791927304160539,1
"583",558,418,0.181298819975647,0.99590037707584
"584",714,667,0.68587588135054,1
"585",381,340,0.171075263761524,0.99590037707584
"586",639,673,0.780821856412268,1
"587",616,567,0.492259575236802,0.99590037707584
"588",328,459,0.310905291008479,0.99590037707584
"589",478,475,0.950911742667591,1
"590",291,220,0.441134070414076,0.99590037707584
"591",166,135,0.44014329358949,0.99590037707584
"592",393,497,0.365822220482723,0.99590037707584
"593",774,721,0.40811838109503,0.99590037707584
"594",542,539,0.955940293734896,1
"595",574,722,0.149172552933969,0.99590037707584
"596",468,423,0.192404180551438,0.99590037707584
"597",972,843,0.302437590448478,0.99590037707584
"598",692,626,0.485377368603863,0.99590037707584
"599",652,743,0.463491598777784,0.99590037707584
"600",707,724,0.675069564857233,1
"601",797,745,0.281671472827254,0.99590037707584
"602",484,492,0.916683159742973,1
"603",375,247,0.0654209107815545,0.99590037707584
"604",622,731,0.609499799543528,0.99590037707584
"605",317,355,0.482289053168029,0.99590037707584
"606",454,438,0.792962587513074,1
"607",243,603,0.0217355982633519,0.941455693917085
"608",409,518,0.507175115333629,0.99590037707584
"609",601,551,0.73402958972211,1
"610",346,286,0.260451301604504,0.99590037707584
"611",140,145,0.933843046682651,1
"612",499,394,0.111932031344064,0.99590037707584
"613",490,498,0.91134101202976,1
"614",975,747,0.346624410802629,0.99590037707584
"615",971,930,0.414792748286603,0.99590037707584
"616",276,291,0.711541166776126,1
"617",521,514,0.96805709823166,1
"618",788,1010,0.0274015129861755,0.952869696432698
"619",722,841,0.462583720513874,0.99590037707584
"620",302,290,0.909002210539966,1
"621",665,749,0.245596698206504,0.99590037707584
"622",886,897,0.971759046418031,1
"623",718,674,0.813235058521943,1
"624",1097,1050,0.67990951119821,1
"625",194,204,0.873541833400453,1
"626",1145,1157,0.840989209365354,1
"627",1282,1180,0.793623411765315,1
"628",667,691,0.533106254409624,0.99590037707584
"629",785,492,0.12352075542731,0.99590037707584
"630",551,519,0.832737872691325,1
"631",918,943,0.647477727526079,1
"632",607,518,0.624298500366195,1
"633",658,827,0.303897354718958,0.99590037707584
"634",501,437,0.522225649621011,0.99590037707584
"635",434,591,0.123353643358067,0.99590037707584
"636",903,753,0.600306903250573,0.99590037707584
"637",330,344,0.783227605485295,1
"638",655,548,0.604502136589389,0.99590037707584
"639",1391,1299,0.777728136703483,1
"640",178,194,0.576161675120395,0.99590037707584
"641",984,1083,0.458301754597329,0.99590037707584
"642",712,620,0.073695900239493,0.99590037707584
"643",665,600,0.600969226406926,0.99590037707584
"644",558,535,0.740074962816348,1
"645",337,263,0.460761702774156,0.99590037707584
"646",251,428,0.0849489181425924,0.99590037707584
"647",522,469,0.751073347157961,1
"648",342,316,0.537388644198322,0.99590037707584
"649",476,447,0.795335774188675,1
"650",398,488,0.551776894614918,0.99590037707584
"651",143,259,0.0469393995435095,0.99590037707584
"652",151,219,0.0736208314274434,0.99590037707584
"653",340,286,0.489132066154992,0.99590037707584
